Start training Best Model
Epoch 1 train loss: 1.9143
Epoch 1 val loss: 1.6749
Saving new best model (Loss: 1.6749)..
Epoch 2 train loss: 1.9234
Epoch 2 val loss: 1.6701
Saving new best model (Loss: 1.6701)..
Epoch 3 train loss: 1.9131
Epoch 3 val loss: 1.6744
Epoch 4 train loss: 1.9291
Epoch 4 val loss: 1.6687
Saving new best model (Loss: 1.6687)..
Epoch 5 train loss: 1.9102
Epoch 5 val loss: 1.6719
Epoch 6 train loss: 1.9156
Epoch 6 val loss: 1.6818
Epoch 7 train loss: 1.9138
Epoch 7 val loss: 1.6747
Epoch 8 train loss: 1.9182
Epoch 8 val loss: 1.6730
Epoch 9 train loss: 1.9113
Epoch 9 val loss: 1.6699
Epoch 10 train loss: 1.9133
Epoch 10 val loss: 1.6707
Epoch 11 train loss: 1.9153
Epoch 11 val loss: 1.6700
Epoch 12 train loss: 1.9207
Epoch 12 val loss: 1.6697
Epoch 13 train loss: 1.9148
Epoch 13 val loss: 1.6712
Epoch 14 train loss: 1.9129
Epoch 14 val loss: 1.6710
Epoch 15 train loss: 1.9094
Epoch 15 val loss: 1.6689
Epoch 16 train loss: 1.9122
Epoch 16 val loss: 1.6685
Saving new best model (Loss: 1.6685)..
Epoch 17 train loss: 1.9149
Epoch 17 val loss: 1.6686
Epoch 18 train loss: 1.9170
Epoch 18 val loss: 1.6706
Epoch 19 train loss: 1.9138
Epoch 19 val loss: 1.6690
Epoch 20 train loss: 1.9176
Epoch 20 val loss: 1.6680
Saving new best model (Loss: 1.6680)..
Epoch 21 train loss: 1.9163
Epoch 21 val loss: 1.6693
Epoch 22 train loss: 1.9092
Epoch 22 val loss: 1.6689
Epoch 23 train loss: 1.9104
Epoch 23 val loss: 1.6683
Epoch 24 train loss: 1.9120
Epoch 24 val loss: 1.6680
Epoch 25 train loss: 1.9087
Epoch 25 val loss: 1.6680
Epoch 26 train loss: 1.9170
Epoch 26 val loss: 1.6677
Saving new best model (Loss: 1.6677)..
Epoch 27 train loss: 1.9137
Epoch 27 val loss: 1.6674
Saving new best model (Loss: 1.6674)..
Epoch 28 train loss: 1.9058
Epoch 28 val loss: 1.6685
Epoch 29 train loss: 1.9060
Epoch 29 val loss: 1.6688
Epoch 30 train loss: 1.9073
Epoch 30 val loss: 1.6686
Epoch 31 train loss: 1.9330
Epoch 31 val loss: 1.6682
Epoch 32 train loss: 1.9077
Epoch 32 val loss: 1.6685
Epoch 33 train loss: 1.9090
Epoch 33 val loss: 1.6681
Epoch 34 train loss: 1.9076
Epoch 34 val loss: 1.6680
Epoch 35 train loss: 1.9096
Epoch 35 val loss: 1.6679
Epoch 36 train loss: 1.9065
Epoch 36 val loss: 1.6678
Epoch 37 train loss: 1.9074
Epoch 37 val loss: 1.6678
Epoch 38 train loss: 1.9112
Epoch 38 val loss: 1.6677
Epoch 39 train loss: 1.9159
Epoch 39 val loss: 1.6679
Epoch 40 train loss: 1.9072
Epoch 40 val loss: 1.6679
Epoch 41 train loss: 1.9088
Epoch 41 val loss: 1.6679
Epoch 42 train loss: 1.9113
Epoch 42 val loss: 1.6678
Epoch 43 train loss: 1.9126
Epoch 43 val loss: 1.6679
Epoch 44 train loss: 1.9098
Epoch 44 val loss: 1.6679
Epoch 45 train loss: 1.9119
Epoch 45 val loss: 1.6679
Epoch 46 train loss: 1.9062
Epoch 46 val loss: 1.6679
Epoch 47 train loss: 1.9241
Epoch 47 val loss: 1.6678
Epoch 48 train loss: 1.9080
Epoch 48 val loss: 1.6679
Epoch 49 train loss: 1.9086
Epoch 49 val loss: 1.6680
Epoch 50 train loss: 1.9073
Epoch 50 val loss: 1.6678
Epoch 51 train loss: 1.9077
Epoch 51 val loss: 1.6679
Epoch 52 train loss: 1.9137
Epoch 52 val loss: 1.6678
Epoch 53 train loss: 1.9062
Epoch 53 val loss: 1.6679
Epoch 54 train loss: 1.9108
Epoch 54 val loss: 1.6678
Epoch 55 train loss: 1.9062
Epoch 55 val loss: 1.6678
Epoch 56 train loss: 1.9078
Epoch 56 val loss: 1.6679
Epoch 57 train loss: 1.9087
Epoch 57 val loss: 1.6678
Epoch 58 train loss: 1.9180
Epoch 58 val loss: 1.6679
Epoch 59 train loss: 1.9091
Epoch 59 val loss: 1.6678
Epoch 60 train loss: 1.9061
Epoch 60 val loss: 1.6679
Epoch 61 train loss: 1.9114
Epoch 61 val loss: 1.6679
Epoch 62 train loss: 1.9058
Epoch 62 val loss: 1.6679
Epoch 63 train loss: 1.9074
Epoch 63 val loss: 1.6678
Epoch 64 train loss: 1.9213
Epoch 64 val loss: 1.6678
Epoch 65 train loss: 1.9076
Epoch 65 val loss: 1.6677
Epoch 66 train loss: 1.9124
Epoch 66 val loss: 1.6679
Epoch 67 train loss: 1.9066
Epoch 67 val loss: 1.6678
Epoch 68 train loss: 1.9279
Epoch 68 val loss: 1.6678
Epoch 69 train loss: 1.9262
Epoch 69 val loss: 1.6678
Epoch 70 train loss: 1.9123
Epoch 70 val loss: 1.6678
