Start training Best Model
Epoch 1 train loss: 1.9286
Epoch 1 val loss: 1.6748
Saving new best model (Loss: 1.6748)..
Epoch 2 train loss: 1.9154
Epoch 2 val loss: 1.6833
Epoch 3 train loss: 1.9103
Epoch 3 val loss: 1.6819
Epoch 4 train loss: 1.9138
Epoch 4 val loss: 1.6778
Epoch 5 train loss: 1.9115
Epoch 5 val loss: 1.6685
Saving new best model (Loss: 1.6685)..
Epoch 6 train loss: 1.9108
Epoch 6 val loss: 1.6679
Saving new best model (Loss: 1.6679)..
Epoch 7 train loss: 1.9182
Epoch 7 val loss: 1.6699
Epoch 8 train loss: 1.9320
Epoch 8 val loss: 1.6716
Epoch 9 train loss: 1.9120
Epoch 9 val loss: 1.6687
Epoch 10 train loss: 1.9135
Epoch 10 val loss: 1.6673
Saving new best model (Loss: 1.6673)..
Epoch 11 train loss: 1.9071
Epoch 11 val loss: 1.6689
Epoch 12 train loss: 1.9066
Epoch 12 val loss: 1.6669
Saving new best model (Loss: 1.6669)..
Epoch 13 train loss: 1.9061
Epoch 13 val loss: 1.6682
Epoch 14 train loss: 1.9172
Epoch 14 val loss: 1.6685
Epoch 15 train loss: 1.9121
Epoch 15 val loss: 1.6690
Epoch 16 train loss: 1.9107
Epoch 16 val loss: 1.6687
Epoch 17 train loss: 1.9098
Epoch 17 val loss: 1.6679
Epoch 18 train loss: 1.9039
Epoch 18 val loss: 1.6676
Epoch 19 train loss: 1.9111
Epoch 19 val loss: 1.6689
Epoch 20 train loss: 1.9065
Epoch 20 val loss: 1.6692
Epoch 21 train loss: 1.9082
Epoch 21 val loss: 1.6680
Epoch 22 train loss: 1.9106
Epoch 22 val loss: 1.6677
Epoch 23 train loss: 1.9023
Epoch 23 val loss: 1.6673
Epoch 24 train loss: 1.9257
Epoch 24 val loss: 1.6676
Epoch 25 train loss: 1.9040
Epoch 25 val loss: 1.6677
Epoch 26 train loss: 1.9031
Epoch 26 val loss: 1.6684
Epoch 27 train loss: 1.9011
Epoch 27 val loss: 1.6681
Epoch 28 train loss: 1.9140
Epoch 28 val loss: 1.6682
Epoch 29 train loss: 1.9031
Epoch 29 val loss: 1.6684
Epoch 30 train loss: 1.9290
Epoch 30 val loss: 1.6674
Epoch 31 train loss: 1.9260
Epoch 31 val loss: 1.6694
Epoch 32 train loss: 1.9197
Epoch 32 val loss: 1.6681
Epoch 33 train loss: 1.9092
Epoch 33 val loss: 1.6686
Epoch 34 train loss: 1.9033
Epoch 34 val loss: 1.6688
Epoch 35 train loss: 1.9006
Epoch 35 val loss: 1.6686
Epoch 36 train loss: 1.9038
Epoch 36 val loss: 1.6683
Epoch 37 train loss: 1.9018
Epoch 37 val loss: 1.6683
Epoch 38 train loss: 1.9038
Epoch 38 val loss: 1.6685
Epoch 39 train loss: 1.9026
Epoch 39 val loss: 1.6682
Epoch 40 train loss: 1.9062
Epoch 40 val loss: 1.6681
Epoch 41 train loss: 1.9024
Epoch 41 val loss: 1.6683
Epoch 42 train loss: 1.9087
Epoch 42 val loss: 1.6686
Epoch 43 train loss: 1.9013
Epoch 43 val loss: 1.6686
Epoch 44 train loss: 1.9036
Epoch 44 val loss: 1.6684
Epoch 45 train loss: 1.9078
Epoch 45 val loss: 1.6688
Epoch 46 train loss: 1.9014
Epoch 46 val loss: 1.6685
Epoch 47 train loss: 1.9018
Epoch 47 val loss: 1.6685
Epoch 48 train loss: 1.9031
Epoch 48 val loss: 1.6688
Epoch 49 train loss: 1.9022
Epoch 49 val loss: 1.6684
Epoch 50 train loss: 1.9091
Epoch 50 val loss: 1.6685
Epoch 51 train loss: 1.9044
Epoch 51 val loss: 1.6685
Epoch 52 train loss: 1.9153
Epoch 52 val loss: 1.6686
Epoch 53 train loss: 1.9014
Epoch 53 val loss: 1.6686
Epoch 54 train loss: 1.9036
Epoch 54 val loss: 1.6685
Epoch 55 train loss: 1.9023
Epoch 55 val loss: 1.6684
Epoch 56 train loss: 1.9191
Epoch 56 val loss: 1.6685
Epoch 57 train loss: 1.9009
Epoch 57 val loss: 1.6685
Epoch 58 train loss: 1.9034
Epoch 58 val loss: 1.6685
Epoch 59 train loss: 1.9044
Epoch 59 val loss: 1.6685
Epoch 60 train loss: 1.9088
Epoch 60 val loss: 1.6682
Epoch 61 train loss: 1.9141
Epoch 61 val loss: 1.6688
Epoch 62 train loss: 1.9130
Epoch 62 val loss: 1.6687
Epoch 63 train loss: 1.9054
Epoch 63 val loss: 1.6689
Epoch 64 train loss: 1.9008
Epoch 64 val loss: 1.6688
Epoch 65 train loss: 1.9090
Epoch 65 val loss: 1.6688
Epoch 66 train loss: 1.9232
Epoch 66 val loss: 1.6685
Epoch 67 train loss: 1.9020
Epoch 67 val loss: 1.6686
Epoch 68 train loss: 1.9104
Epoch 68 val loss: 1.6685
Epoch 69 train loss: 1.9055
Epoch 69 val loss: 1.6684
Epoch 70 train loss: 1.9005
Epoch 70 val loss: 1.6688
