Start training Best Model
Epoch 1 train loss: 1.9182
Epoch 1 val loss: 1.6694
Saving new best model (Loss: 1.6694)..
Epoch 2 train loss: 1.9215
Epoch 2 val loss: 1.6737
Epoch 3 train loss: 1.9135
Epoch 3 val loss: 1.6702
Epoch 4 train loss: 1.9143
Epoch 4 val loss: 1.6691
Saving new best model (Loss: 1.6691)..
Epoch 5 train loss: 1.9128
Epoch 5 val loss: 1.6772
Epoch 6 train loss: 1.9161
Epoch 6 val loss: 1.6701
Epoch 7 train loss: 1.9175
Epoch 7 val loss: 1.6721
Epoch 8 train loss: 1.9227
Epoch 8 val loss: 1.6730
Epoch 9 train loss: 1.9162
Epoch 9 val loss: 1.6741
Epoch 10 train loss: 1.9106
Epoch 10 val loss: 1.6694
Epoch 11 train loss: 1.9125
Epoch 11 val loss: 1.6694
Epoch 12 train loss: 1.9072
Epoch 12 val loss: 1.6684
Saving new best model (Loss: 1.6684)..
Epoch 13 train loss: 1.9058
Epoch 13 val loss: 1.6684
Saving new best model (Loss: 1.6684)..
Epoch 14 train loss: 1.9114
Epoch 14 val loss: 1.6669
Saving new best model (Loss: 1.6669)..
Epoch 15 train loss: 1.9179
Epoch 15 val loss: 1.6685
Epoch 16 train loss: 1.9117
Epoch 16 val loss: 1.6664
Saving new best model (Loss: 1.6664)..
Epoch 17 train loss: 1.9089
Epoch 17 val loss: 1.6675
Epoch 18 train loss: 1.9174
Epoch 18 val loss: 1.6677
Epoch 19 train loss: 1.9122
Epoch 19 val loss: 1.6676
Epoch 20 train loss: 1.9159
Epoch 20 val loss: 1.6672
Epoch 21 train loss: 1.9069
Epoch 21 val loss: 1.6669
Epoch 22 train loss: 1.9073
Epoch 22 val loss: 1.6678
Epoch 23 train loss: 1.9326
Epoch 23 val loss: 1.6676
Epoch 24 train loss: 1.9093
Epoch 24 val loss: 1.6668
Epoch 25 train loss: 1.9134
Epoch 25 val loss: 1.6680
Epoch 26 train loss: 1.9048
Epoch 26 val loss: 1.6672
Epoch 27 train loss: 1.9252
Epoch 27 val loss: 1.6672
Epoch 28 train loss: 1.9091
Epoch 28 val loss: 1.6674
Epoch 29 train loss: 1.9043
Epoch 29 val loss: 1.6674
Epoch 30 train loss: 1.9159
Epoch 30 val loss: 1.6672
Epoch 31 train loss: 1.9079
Epoch 31 val loss: 1.6670
Epoch 32 train loss: 1.9107
Epoch 32 val loss: 1.6674
Epoch 33 train loss: 1.9131
Epoch 33 val loss: 1.6674
Epoch 34 train loss: 1.9070
Epoch 34 val loss: 1.6674
Epoch 35 train loss: 1.9086
Epoch 35 val loss: 1.6673
Epoch 36 train loss: 1.9053
Epoch 36 val loss: 1.6674
Epoch 37 train loss: 1.9059
Epoch 37 val loss: 1.6673
Epoch 38 train loss: 1.9088
Epoch 38 val loss: 1.6673
Epoch 39 train loss: 1.9054
Epoch 39 val loss: 1.6674
Epoch 40 train loss: 1.9139
Epoch 40 val loss: 1.6673
Epoch 41 train loss: 1.9119
Epoch 41 val loss: 1.6674
Epoch 42 train loss: 1.9049
Epoch 42 val loss: 1.6672
Epoch 43 train loss: 1.9040
Epoch 43 val loss: 1.6674
Epoch 44 train loss: 1.9050
Epoch 44 val loss: 1.6673
Epoch 45 train loss: 1.9053
Epoch 45 val loss: 1.6673
Epoch 46 train loss: 1.9079
Epoch 46 val loss: 1.6674
Epoch 47 train loss: 1.9158
Epoch 47 val loss: 1.6674
Epoch 48 train loss: 1.9061
Epoch 48 val loss: 1.6672
Epoch 49 train loss: 1.9092
Epoch 49 val loss: 1.6673
Epoch 50 train loss: 1.9062
Epoch 50 val loss: 1.6672
Epoch 51 train loss: 1.9079
Epoch 51 val loss: 1.6672
Epoch 52 train loss: 1.9044
Epoch 52 val loss: 1.6674
Epoch 53 train loss: 1.9162
Epoch 53 val loss: 1.6673
Epoch 54 train loss: 1.9099
Epoch 54 val loss: 1.6672
