Start training Best Model
Epoch 1 train loss: 1.9125
Epoch 1 val loss: 1.6686
Saving new best model (Loss: 1.6686)..
Epoch 2 train loss: 1.9118
Epoch 2 val loss: 1.6717
Epoch 3 train loss: 1.9092
Epoch 3 val loss: 1.6690
Epoch 4 train loss: 1.9179
Epoch 4 val loss: 1.6756
Epoch 5 train loss: 1.9175
Epoch 5 val loss: 1.6713
Epoch 6 train loss: 1.9097
Epoch 6 val loss: 1.6699
Epoch 7 train loss: 1.9105
Epoch 7 val loss: 1.6697
Epoch 8 train loss: 1.9127
Epoch 8 val loss: 1.6703
Epoch 9 train loss: 1.9142
Epoch 9 val loss: 1.6679
Saving new best model (Loss: 1.6679)..
Epoch 10 train loss: 1.9128
Epoch 10 val loss: 1.6688
Epoch 11 train loss: 1.9102
Epoch 11 val loss: 1.6685
Epoch 12 train loss: 1.9112
Epoch 12 val loss: 1.6681
Epoch 13 train loss: 1.9079
Epoch 13 val loss: 1.6679
Saving new best model (Loss: 1.6679)..
Epoch 14 train loss: 1.9140
Epoch 14 val loss: 1.6682
Epoch 15 train loss: 1.9061
Epoch 15 val loss: 1.6680
Epoch 16 train loss: 1.9087
Epoch 16 val loss: 1.6673
Saving new best model (Loss: 1.6673)..
Epoch 17 train loss: 1.9116
Epoch 17 val loss: 1.6673
Epoch 18 train loss: 1.9121
Epoch 18 val loss: 1.6685
Epoch 19 train loss: 1.9111
Epoch 19 val loss: 1.6678
Epoch 20 train loss: 1.9081
Epoch 20 val loss: 1.6671
Saving new best model (Loss: 1.6671)..
Epoch 21 train loss: 1.9058
Epoch 21 val loss: 1.6669
Saving new best model (Loss: 1.6669)..
Epoch 22 train loss: 1.9053
Epoch 22 val loss: 1.6671
Epoch 23 train loss: 1.9065
Epoch 23 val loss: 1.6667
Saving new best model (Loss: 1.6667)..
Epoch 24 train loss: 1.9083
Epoch 24 val loss: 1.6681
Epoch 25 train loss: 1.9112
Epoch 25 val loss: 1.6677
Epoch 26 train loss: 1.9095
Epoch 26 val loss: 1.6670
Epoch 27 train loss: 1.9053
Epoch 27 val loss: 1.6676
Epoch 28 train loss: 1.9396
Epoch 28 val loss: 1.6673
Epoch 29 train loss: 1.9052
Epoch 29 val loss: 1.6670
Epoch 30 train loss: 1.9116
Epoch 30 val loss: 1.6673
Epoch 31 train loss: 1.9072
Epoch 31 val loss: 1.6670
Epoch 32 train loss: 1.9232
Epoch 32 val loss: 1.6670
Epoch 33 train loss: 1.9132
Epoch 33 val loss: 1.6671
Epoch 34 train loss: 1.9176
Epoch 34 val loss: 1.6673
Epoch 35 train loss: 1.9065
Epoch 35 val loss: 1.6671
Epoch 36 train loss: 1.9053
Epoch 36 val loss: 1.6672
Epoch 37 train loss: 1.9061
Epoch 37 val loss: 1.6672
Epoch 38 train loss: 1.9059
Epoch 38 val loss: 1.6673
Epoch 39 train loss: 1.9088
Epoch 39 val loss: 1.6672
Epoch 40 train loss: 1.9043
Epoch 40 val loss: 1.6672
Epoch 41 train loss: 1.9080
Epoch 41 val loss: 1.6672
Epoch 42 train loss: 1.9117
Epoch 42 val loss: 1.6673
Epoch 43 train loss: 1.9195
Epoch 43 val loss: 1.6674
Epoch 44 train loss: 1.9103
Epoch 44 val loss: 1.6671
Epoch 45 train loss: 1.9069
Epoch 45 val loss: 1.6673
Epoch 46 train loss: 1.9150
Epoch 46 val loss: 1.6673
Epoch 47 train loss: 1.9112
Epoch 47 val loss: 1.6673
Epoch 48 train loss: 1.9049
Epoch 48 val loss: 1.6674
Epoch 49 train loss: 1.9059
Epoch 49 val loss: 1.6673
Epoch 50 train loss: 1.9056
Epoch 50 val loss: 1.6672
Epoch 51 train loss: 1.9058
Epoch 51 val loss: 1.6671
Epoch 52 train loss: 1.9087
Epoch 52 val loss: 1.6671
Epoch 53 train loss: 1.9095
Epoch 53 val loss: 1.6674
Epoch 54 train loss: 1.9050
Epoch 54 val loss: 1.6673
Epoch 55 train loss: 1.9072
Epoch 55 val loss: 1.6672
Epoch 56 train loss: 1.9124
Epoch 56 val loss: 1.6673
Epoch 57 train loss: 1.9510
Epoch 57 val loss: 1.6672
Epoch 58 train loss: 1.9092
Epoch 58 val loss: 1.6672
Epoch 59 train loss: 1.9059
Epoch 59 val loss: 1.6673
Epoch 60 train loss: 1.9063
Epoch 60 val loss: 1.6671
Epoch 61 train loss: 1.9118
Epoch 61 val loss: 1.6671
Epoch 62 train loss: 1.9165
Epoch 62 val loss: 1.6671
Epoch 63 train loss: 1.9076
Epoch 63 val loss: 1.6673
Epoch 64 train loss: 1.9097
Epoch 64 val loss: 1.6674
Epoch 65 train loss: 1.9173
Epoch 65 val loss: 1.6671
Epoch 66 train loss: 1.9274
Epoch 66 val loss: 1.6673
Epoch 67 train loss: 1.9171
Epoch 67 val loss: 1.6674
Epoch 68 train loss: 1.9103
Epoch 68 val loss: 1.6674
Epoch 69 train loss: 1.9046
Epoch 69 val loss: 1.6672
Epoch 70 train loss: 1.9143
Epoch 70 val loss: 1.6672
